mesure,indicateur,id_indicateur,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite,maille
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,67.0,2020-09-30,59.0,2019-09-30,8.0,14.0,100.0,20.0,2022-09-30,% des classes,0 - departemental
Doubler le nombre de maisons de santé,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,23.0,2020-06-30,15.0,2017-06-30,8.0,53.0,,,,maisons de santé,0 - departemental
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,43.0,2020-06-30,24.0,2017-12-31,19.0,79.0,,,,% de déploiement,0 - departemental
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,15.0,2020-11-30,0.0,2017-01-01,15.0,,25.0,60.0,2022-12-31,labellisations,0 - departemental
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,20000.0,2020-06-30,20000.0,2017-06-30,0.0,0.0,600000.0,0.0,2022-12-31,habitants,0 - departemental
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,9376.0,2020-09-30,0.0,2018-03-31,9376.0,,,,,primes et bonus,0 - departemental
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,3884.0,2019-12-31,3265.0,2017-12-31,619.0,19.0,,,,contrats,0 - departemental
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,696.0,2020-09-30,614.0,2017-12-31,82.0,13.0,850.0,35.0,2022-03-31,kilomètres,0 - departemental
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,73.0,2020-09-30,66.0,2017-09-30,7.0,11.0,78.0,58.0,2022-09-30,unités,0 - departemental
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,2.0,2020-09-30,1.0,2017-09-30,1.0,100.0,4.0,33.0,2022-09-30,classes,0 - departemental
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,60.0,2020-10-31,,,,,,,,amendes dressées dans l'année,0 - departemental
Plan #1jeune1solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,19127.0,2019-12-31,17840.0,2018-12-31,1287.0,7.0,,,,recrutements dans l'année,0 - departemental
Pacte d’ambition pour l’insertion par l’activité économique,Nombre de bénéficiaires en structures d’insertion par l’activité économique,nb-beneficiaires-siae,824.0,2020-07-31,687.0,2018-01-31,137.0,20.0,,,,bénéficiaires par mois,1 - regional
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,78.0,2019-12-31,72.0,2017-12-31,6.0,8.0,,,,ordonnances dans l'année,1 - regional
Améliorer la qualité du service rendu à l’usager,Taux de satisfaction des usagers à l’égard des services publics,tx-satisfaction-usagers-services-publics,76.0,2020-12-31,72.0,2017-12-31,4.0,6.0,77.0,80.0,2022-12-31,% de satisfaction,2 - national
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,68941131.0,2019-12-31,68437499.0,2017-12-31,503632.0,1.0,,,,heures de patrouille dans l'année,2 - national
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés par les plans de lutte contre la radicalisation dans les quartiers (PLR-Q) et les cellules départementales de lutte contre l'islamisme et le repli communautaire (CLIR),nb-controles-clir,5202.0,2019-12-31,4296.0,2018-12-31,906.0,21.0,,,,contrôles dans l'année,2 - national
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins dentaire,tx-equipements-dentaire,51.9,2020-09-30,26.08,2019-04-30,26.0,99.0,45.0,136.0,2022-12-31,%,2 - national
Instaurer des zones à faibles émissions,Nombre d'habitants vivant à l'intérieur d'une zone à faible émission,nb-habitants-zfe,5102636.0,2020-12-31,2220445.0,2017-12-31,2882191.0,130.0,,,,habitants,2 - national
Déployer le Pass culture,Nombre d’utilisateurs du Pass culture,nb-utilisateurs-pass-culture,113921.0,2020-10-31,0.0,2017-01-01,113921.0,,1377000.0,8.0,2022-12-31,utilisateurs,2 - national
